impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,gdn_decode_fused,1,16,256,256,64,0,66.144,127.320,0.095118
cutile,gdn_decode_fused,1,16,256,256,64,1,15.392,547.131,0.408748
cutile,gdn_decode_fused,1,16,256,256,64,2,16.064,524.243,0.391649
cutile,gdn_decode_fused,1,16,256,256,64,3,14.976,562.329,0.420103
cutile,gdn_decode_fused,1,16,256,256,64,4,66.560,126.524,0.094523
cutile,gdn_decode_fused,1,16,256,256,64,5,15.424,545.996,0.407900
cutile,gdn_decode_fused,1,16,256,256,64,6,14.880,565.957,0.422813
cutile,gdn_decode_fused,1,16,256,256,64,7,39.424,213.612,0.159584
cutile,gdn_decode_fused,1,16,256,256,64,8,16.544,509.033,0.380286
cutile,gdn_decode_fused,1,16,256,256,64,9,16.352,515.010,0.384751
cutile,gdn_decode_fused,1,16,256,256,64,10,16.000,526.340,0.393216
cutile,gdn_decode_fused,1,16,256,256,64,11,15.424,545.996,0.407900
cutile,gdn_decode_fused,1,16,256,256,64,12,15.040,559.936,0.418315
cutile,gdn_decode_fused,1,16,256,256,64,13,15.392,547.131,0.408748
cutile,gdn_decode_fused,1,16,256,256,64,14,15.232,552.878,0.413042
cutile,gdn_decode_fused,1,16,256,256,64,15,15.616,539.283,0.402885
cutile,gdn_decode_fused,1,16,256,256,64,16,43.168,195.085,0.145744
cutile,gdn_decode_fused,1,16,256,256,64,17,382.592,22.012,0.016444
cutile,gdn_decode_fused,1,16,256,256,64,18,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,19,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,20,14.496,580.949,0.434013
cutile,gdn_decode_fused,1,16,256,256,64,21,15.360,548.271,0.409600
cutile,gdn_decode_fused,1,16,256,256,64,22,14.880,565.957,0.422813
cutile,gdn_decode_fused,1,16,256,256,64,23,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,24,15.328,549.415,0.410455
cutile,gdn_decode_fused,1,16,256,256,64,25,50.272,167.518,0.125148
cutile,gdn_decode_fused,1,16,256,256,64,26,14.752,570.868,0.426482
cutile,gdn_decode_fused,1,16,256,256,64,27,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,28,43.488,193.650,0.144671
cutile,gdn_decode_fused,1,16,256,256,64,29,20.992,401.174,0.299707
cutile,gdn_decode_fused,1,16,256,256,64,30,29.024,290.154,0.216767
cutile,gdn_decode_fused,1,16,256,256,64,31,120.480,69.899,0.052220
cutile,gdn_decode_fused,1,16,256,256,64,32,93.536,90.034,0.067262
cutile,gdn_decode_fused,1,16,256,256,64,33,16.160,521.129,0.389323
cutile,gdn_decode_fused,1,16,256,256,64,34,14.784,569.632,0.425558
cutile,gdn_decode_fused,1,16,256,256,64,35,15.264,551.719,0.412176
cutile,gdn_decode_fused,1,16,256,256,64,36,29.536,285.125,0.213010
cutile,gdn_decode_fused,1,16,256,256,64,37,16.096,523.201,0.390871
cutile,gdn_decode_fused,1,16,256,256,64,38,15.168,555.211,0.414785
cutile,gdn_decode_fused,1,16,256,256,64,39,14.752,570.868,0.426482
cutile,gdn_decode_fused,1,16,256,256,64,40,38.208,220.410,0.164663
cutile,gdn_decode_fused,1,16,256,256,64,41,15.136,556.385,0.415662
cutile,gdn_decode_fused,1,16,256,256,64,42,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,43,56.512,149.020,0.111330
cutile,gdn_decode_fused,1,16,256,256,64,44,15.392,547.131,0.408748
cutile,gdn_decode_fused,1,16,256,256,64,45,14.784,569.632,0.425558
cutile,gdn_decode_fused,1,16,256,256,64,46,14.624,575.864,0.430214
cutile,gdn_decode_fused,1,16,256,256,64,47,16.640,506.096,0.378092
cutile,gdn_decode_fused,1,16,256,256,64,48,15.072,558.747,0.417427
cutile,gdn_decode_fused,1,16,256,256,64,49,14.560,578.396,0.432105
