impl,shape,kind,metric,value
oxide-attn-gdn,correctness,correctness,max_abs_o,1.597553e-4
oxide-attn-gdn,correctness,correctness,max_abs_S_out,2.412051e-4
oxide-attn-gdn,qwen3_next_decode,correctness,max_abs_o,1.677275e-4
oxide-attn-gdn,qwen3_next_decode,correctness,max_abs_S_out,1.584701e-4
oxide-attn-gdn,qwen3_next_decode,bench,0,0.038336,219.674
oxide-attn-gdn,qwen3_next_decode,bench,1,0.030656,274.708
oxide-attn-gdn,qwen3_next_decode,bench,2,0.031040,271.309
oxide-attn-gdn,qwen3_next_decode,bench,3,0.030848,272.998
oxide-attn-gdn,qwen3_next_decode,bench,4,0.030944,272.151
oxide-attn-gdn,qwen3_next_decode,bench,5,0.032608,258.263
oxide-attn-gdn,qwen3_next_decode,bench,6,0.031872,264.227
oxide-attn-gdn,qwen3_next_decode,bench,7,0.031840,264.492
oxide-attn-gdn,qwen3_next_decode,bench,8,0.031200,269.918
oxide-attn-gdn,qwen3_next_decode,bench,9,0.031040,271.309
oxide-attn-gdn,qwen3_next_decode,bench,10,0.032512,259.026
oxide-attn-gdn,qwen3_next_decode,bench,11,0.031616,266.366
oxide-attn-gdn,qwen3_next_decode,bench,12,0.031872,264.227
oxide-attn-gdn,qwen3_next_decode,bench,13,0.038656,217.856
oxide-attn-gdn,qwen3_next_decode,bench,14,0.037952,221.897
oxide-attn-gdn,qwen3_next_decode,bench,15,0.031936,263.697
oxide-attn-gdn,qwen3_next_decode,bench,16,0.032352,260.307
oxide-attn-gdn,qwen3_next_decode,bench,17,0.038400,219.308
oxide-attn-gdn,qwen3_next_decode,bench,18,0.032512,259.026
oxide-attn-gdn,qwen3_next_decode,bench,19,0.030752,273.850
oxide-attn-gdn,qwen3_next_decode,bench,20,0.030976,271.870
oxide-attn-gdn,qwen3_next_decode,bench,21,0.033888,248.508
oxide-attn-gdn,qwen3_next_decode,bench,22,0.031200,269.918
oxide-attn-gdn,qwen3_next_decode,bench,23,0.031200,269.918
oxide-attn-gdn,qwen3_next_decode,bench,24,0.031808,264.759
oxide-attn-gdn,qwen3_next_decode,bench,25,0.031456,267.721
oxide-attn-gdn,qwen3_next_decode,bench,26,0.030880,272.715
oxide-attn-gdn,qwen3_next_decode,bench,27,0.030752,273.850
oxide-attn-gdn,qwen3_next_decode,bench,28,0.030912,272.433
oxide-attn-gdn,qwen3_next_decode,bench,29,0.030560,275.571
oxide-attn-gdn,qwen3_next_decode,bench,30,0.030720,274.135
oxide-attn-gdn,qwen3_next_decode,bench,31,0.031264,269.365
oxide-attn-gdn,qwen3_next_decode,bench,32,0.031264,269.365
oxide-attn-gdn,qwen3_next_decode,bench,33,0.030496,276.149
oxide-attn-gdn,qwen3_next_decode,bench,34,0.031808,264.759
oxide-attn-gdn,qwen3_next_decode,bench,35,0.031872,264.227
oxide-attn-gdn,qwen3_next_decode,bench,36,0.032608,258.263
oxide-attn-gdn,qwen3_next_decode,bench,37,0.031712,265.560
oxide-attn-gdn,qwen3_next_decode,bench,38,0.032640,258.010
oxide-attn-gdn,qwen3_next_decode,bench,39,0.031296,269.090
oxide-attn-gdn,qwen3_next_decode,bench,40,0.032384,260.049
oxide-attn-gdn,qwen3_next_decode,bench,41,0.031840,264.492
oxide-attn-gdn,qwen3_next_decode,bench,42,0.031200,269.918
oxide-attn-gdn,qwen3_next_decode,bench,43,0.032864,256.251
oxide-attn-gdn,qwen3_next_decode,bench,44,0.032160,261.861
oxide-attn-gdn,qwen3_next_decode,bench,45,0.033088,254.516
oxide-attn-gdn,qwen3_next_decode,bench,46,0.031776,265.025
oxide-attn-gdn,qwen3_next_decode,bench,47,0.031424,267.994
oxide-attn-gdn,qwen3_next_decode,bench,48,0.031904,263.962
oxide-attn-gdn,qwen3_next_decode,bench,49,0.031904,263.962
oxide-attn-gdn,qwen3_next_decode,bench_summary,best_ms,0.030496
oxide-attn-gdn,qwen3_next_decode,bench_summary,best_gbps,276.149
oxide-attn-gdn,qwen3_next_decode,bench_summary,median_gbps,264.759
oxide-attn-gdn,qwen3_next_decode,bench_summary,mean_gbps,261.730
